Direction,TriggerLevel,TriggerTime,GoalLevel,GoalTime,NumHits,NumTriggers,PctCompletion
Downside,-0.786,0900,-0.5,0900,180,208,86.54
Downside,-0.786,0900,-0.5,1000,28,208,13.46
Downside,-0.786,0900,-0.382,0900,180,208,86.54
Downside,-0.786,0900,-0.382,1000,28,208,13.46
Downside,-0.786,0900,-0.236,0900,181,208,87.02
Downside,-0.786,0900,-0.236,1000,27,208,12.98
Downside,-0.786,0900,0.0,0900,181,208,87.02
Downside,-0.786,0900,0.0,1000,27,208,12.98
Downside,-0.786,0900,0.236,0900,181,208,87.02
Downside,-0.786,0900,0.236,1000,27,208,12.98
Downside,-0.786,0900,0.382,0900,181,208,87.02
Downside,-0.786,0900,0.382,1000,27,208,12.98
Downside,-0.786,0900,0.5,0900,181,208,87.02
Downside,-0.786,0900,0.5,1000,27,208,12.98
Downside,-0.786,0900,0.618,0900,181,208,87.02
Downside,-0.786,0900,0.618,1000,27,208,12.98
Downside,-0.786,0900,0.786,0900,181,208,87.02
Downside,-0.786,0900,0.786,1000,27,208,12.98
Downside,-0.786,0900,1.0,0900,181,208,87.02
Downside,-0.786,0900,1.0,1000,27,208,12.98
Downside,-0.786,1000,-1.0,1000,44,123,35.77
Downside,-0.786,1000,-1.0,1100,23,123,18.7
Downside,-0.786,1000,-1.0,1200,8,123,6.5
Downside,-0.786,1000,-1.0,1300,4,123,3.25
Downside,-0.786,1000,-1.0,1400,8,123,6.5
Downside,-0.786,1000,-1.0,1500,3,123,2.44
Downside,-0.786,1000,-0.618,1000,101,123,82.11
Downside,-0.786,1000,-0.618,1100,21,123,17.07
Downside,-0.786,1000,-0.618,1200,1,123,0.81
Downside,-0.786,1000,-0.5,1000,102,123,82.93
Downside,-0.786,1000,-0.5,1100,21,123,17.07
Downside,-0.786,1000,-0.382,1000,102,123,82.93
Downside,-0.786,1000,-0.382,1100,21,123,17.07
Downside,-0.786,1000,-0.236,1000,102,123,82.93
Downside,-0.786,1000,-0.236,1100,21,123,17.07
Downside,-0.786,1000,0.0,1000,102,123,82.93
Downside,-0.786,1000,0.0,1100,21,123,17.07
Downside,-0.786,1000,0.236,1000,102,123,82.93
Downside,-0.786,1000,0.236,1100,21,123,17.07
Downside,-0.786,1000,0.382,1000,102,123,82.93
Downside,-0.786,1000,0.382,1100,21,123,17.07
Downside,-0.786,1000,0.5,1000,102,123,82.93
Downside,-0.786,1000,0.5,1100,21,123,17.07
Downside,-0.786,1000,0.618,1000,102,123,82.93
Downside,-0.786,1000,0.618,1100,21,123,17.07
Downside,-0.786,1000,0.786,1000,102,123,82.93
Downside,-0.786,1000,0.786,1100,21,123,17.07
Downside,-0.786,1000,1.0,1000,102,123,82.93
Downside,-0.786,1000,1.0,1100,21,123,17.07
Downside,-0.786,1100,-1.0,1100,27,82,32.93
Downside,-0.786,1100,-1.0,1200,12,82,14.63
Downside,-0.786,1100,-1.0,1300,6,82,7.32
Downside,-0.786,1100,-1.0,1400,5,82,6.1
Downside,-0.786,1100,-1.0,1500,5,82,6.1
Downside,-0.786,1100,-0.618,1100,65,82,79.27
Downside,-0.786,1100,-0.618,1200,14,82,17.07
Downside,-0.786,1100,-0.618,1300,1,82,1.22
Downside,-0.786,1100,-0.618,1400,1,82,1.22
Downside,-0.786,1100,-0.5,1100,68,82,82.93
Downside,-0.786,1100,-0.5,1200,14,82,17.07
Downside,-0.786,1100,-0.382,1100,68,82,82.93
Downside,-0.786,1100,-0.382,1200,14,82,17.07
Downside,-0.786,1100,-0.236,1100,68,82,82.93
Downside,-0.786,1100,-0.236,1200,14,82,17.07
Downside,-0.786,1100,0.0,1100,68,82,82.93
Downside,-0.786,1100,0.0,1200,14,82,17.07
Downside,-0.786,1100,0.236,1100,68,82,82.93
Downside,-0.786,1100,0.236,1200,14,82,17.07
Downside,-0.786,1100,0.382,1100,68,82,82.93
Downside,-0.786,1100,0.382,1200,14,82,17.07
Downside,-0.786,1100,0.5,1100,68,82,82.93
Downside,-0.786,1100,0.5,1200,14,82,17.07
Downside,-0.786,1100,0.618,1100,68,82,82.93
Downside,-0.786,1100,0.618,1200,14,82,17.07
Downside,-0.786,1100,0.786,1100,68,82,82.93
Downside,-0.786,1100,0.786,1200,14,82,17.07
Downside,-0.786,1100,1.0,1100,68,82,82.93
Downside,-0.786,1100,1.0,1200,14,82,17.07
Downside,-0.786,1200,-1.0,1200,12,45,26.67
Downside,-0.786,1200,-1.0,1300,12,45,26.67
Downside,-0.786,1200,-1.0,1500,6,45,13.33
