Time,Zone,Frequency,TotalObservations,Percentage,TimeHourly,Time10Min,Granularity
1310,0.382_to_0.5,268,3953,6.78,1300,1310,10-Minute
1310,0.5_to_0.618,227,3953,5.74,1300,1310,10-Minute
1310,0.618_to_0.786,205,3953,5.19,1300,1310,10-Minute
1310,0.786_to_1.0,212,3953,5.36,1300,1310,10-Minute
1310,above_1.0,181,3953,4.58,1300,1310,10-Minute
1310,below_-1.0,199,3953,5.03,1300,1310,10-Minute
1320,-0.236_to_0.0,613,3996,15.34,1300,1320,10-Minute
1320,-0.382_to_-0.236,339,3996,8.48,1300,1320,10-Minute
1320,-0.5_to_-0.382,225,3996,5.63,1300,1320,10-Minute
1320,-0.618_to_-0.5,194,3996,4.85,1300,1320,10-Minute
1320,-0.786_to_-0.618,178,3996,4.45,1300,1320,10-Minute
1320,-1.0_to_-0.786,131,3996,3.28,1300,1320,10-Minute
1320,0.0_to_0.236,639,3996,15.99,1300,1320,10-Minute
1320,0.236_to_0.382,357,3996,8.93,1300,1320,10-Minute
1320,0.382_to_0.5,254,3996,6.36,1300,1320,10-Minute
1320,0.5_to_0.618,222,3996,5.56,1300,1320,10-Minute
1320,0.618_to_0.786,228,3996,5.71,1300,1320,10-Minute
1320,0.786_to_1.0,218,3996,5.46,1300,1320,10-Minute
1320,above_1.0,194,3996,4.85,1300,1320,10-Minute
1320,below_-1.0,204,3996,5.11,1300,1320,10-Minute
1330,-0.236_to_0.0,624,4020,15.52,1300,1330,10-Minute
1330,-0.382_to_-0.236,350,4020,8.71,1300,1330,10-Minute
1330,-0.5_to_-0.382,227,4020,5.65,1300,1330,10-Minute
1330,-0.618_to_-0.5,182,4020,4.53,1300,1330,10-Minute
1330,-0.786_to_-0.618,185,4020,4.6,1300,1330,10-Minute
1330,-1.0_to_-0.786,139,4020,3.46,1300,1330,10-Minute
1330,0.0_to_0.236,636,4020,15.82,1300,1330,10-Minute
1330,0.236_to_0.382,362,4020,9.0,1300,1330,10-Minute
1330,0.382_to_0.5,254,4020,6.32,1300,1330,10-Minute
1330,0.5_to_0.618,222,4020,5.52,1300,1330,10-Minute
1330,0.618_to_0.786,224,4020,5.57,1300,1330,10-Minute
1330,0.786_to_1.0,205,4020,5.1,1300,1330,10-Minute
1330,above_1.0,201,4020,5.0,1300,1330,10-Minute
1330,below_-1.0,209,4020,5.2,1300,1330,10-Minute
1340,-0.236_to_0.0,615,3945,15.59,1300,1340,10-Minute
1340,-0.382_to_-0.236,358,3945,9.07,1300,1340,10-Minute
1340,-0.5_to_-0.382,206,3945,5.22,1300,1340,10-Minute
1340,-0.618_to_-0.5,178,3945,4.51,1300,1340,10-Minute
1340,-0.786_to_-0.618,167,3945,4.23,1300,1340,10-Minute
1340,-1.0_to_-0.786,136,3945,3.45,1300,1340,10-Minute
1340,0.0_to_0.236,619,3945,15.69,1300,1340,10-Minute
1340,0.236_to_0.382,338,3945,8.57,1300,1340,10-Minute
1340,0.382_to_0.5,249,3945,6.31,1300,1340,10-Minute
1340,0.5_to_0.618,234,3945,5.93,1300,1340,10-Minute
1340,0.618_to_0.786,217,3945,5.5,1300,1340,10-Minute
1340,0.786_to_1.0,203,3945,5.15,1300,1340,10-Minute
1340,above_1.0,209,3945,5.3,1300,1340,10-Minute
1340,below_-1.0,216,3945,5.48,1300,1340,10-Minute
1350,-0.236_to_0.0,624,3932,15.87,1300,1350,10-Minute
1350,-0.382_to_-0.236,351,3932,8.93,1300,1350,10-Minute
1350,-0.5_to_-0.382,213,3932,5.42,1300,1350,10-Minute
1350,-0.618_to_-0.5,166,3932,4.22,1300,1350,10-Minute
