Time,Zone,DaysOccupied,Percentage,TimeHourly,Time10Min,Granularity
1220,-1.0_to_-0.786,144,5.29,1200,1220,10-Minute
1220,0.0_to_0.236,670,24.62,1200,1220,10-Minute
1220,0.236_to_0.382,393,14.44,1200,1220,10-Minute
1220,0.382_to_0.5,278,10.22,1200,1220,10-Minute
1220,0.5_to_0.618,196,7.2,1200,1220,10-Minute
1220,0.618_to_0.786,225,8.27,1200,1220,10-Minute
1220,0.786_to_1.0,197,7.24,1200,1220,10-Minute
1220,above_1.0,164,6.03,1200,1220,10-Minute
1220,below_-1.0,193,7.09,1200,1220,10-Minute
1230,-0.236_to_0.0,643,23.63,1200,1230,10-Minute
1230,-0.382_to_-0.236,348,12.79,1200,1230,10-Minute
1230,-0.5_to_-0.382,225,8.27,1200,1230,10-Minute
1230,-0.618_to_-0.5,178,6.54,1200,1230,10-Minute
1230,-0.786_to_-0.618,170,6.25,1200,1230,10-Minute
1230,-1.0_to_-0.786,156,5.73,1200,1230,10-Minute
1230,0.0_to_0.236,646,23.74,1200,1230,10-Minute
1230,0.236_to_0.382,386,14.19,1200,1230,10-Minute
1230,0.382_to_0.5,274,10.07,1200,1230,10-Minute
1230,0.5_to_0.618,207,7.61,1200,1230,10-Minute
1230,0.618_to_0.786,226,8.31,1200,1230,10-Minute
1230,0.786_to_1.0,200,7.35,1200,1230,10-Minute
1230,above_1.0,171,6.28,1200,1230,10-Minute
1230,below_-1.0,185,6.8,1200,1230,10-Minute
1240,-0.236_to_0.0,630,23.15,1200,1240,10-Minute
1240,-0.382_to_-0.236,330,12.13,1200,1240,10-Minute
1240,-0.5_to_-0.382,222,8.16,1200,1240,10-Minute
1240,-0.618_to_-0.5,177,6.5,1200,1240,10-Minute
1240,-0.786_to_-0.618,177,6.5,1200,1240,10-Minute
1240,-1.0_to_-0.786,149,5.48,1200,1240,10-Minute
1240,0.0_to_0.236,630,23.15,1200,1240,10-Minute
1240,0.236_to_0.382,384,14.11,1200,1240,10-Minute
1240,0.382_to_0.5,277,10.18,1200,1240,10-Minute
1240,0.5_to_0.618,220,8.09,1200,1240,10-Minute
1240,0.618_to_0.786,212,7.79,1200,1240,10-Minute
1240,0.786_to_1.0,201,7.39,1200,1240,10-Minute
1240,above_1.0,180,6.62,1200,1240,10-Minute
1240,below_-1.0,182,6.69,1200,1240,10-Minute
1250,-0.236_to_0.0,621,22.82,1200,1250,10-Minute
1250,-0.382_to_-0.236,307,11.28,1200,1250,10-Minute
1250,-0.5_to_-0.382,218,8.01,1200,1250,10-Minute
1250,-0.618_to_-0.5,178,6.54,1200,1250,10-Minute
1250,-0.786_to_-0.618,183,6.73,1200,1250,10-Minute
1250,-1.0_to_-0.786,145,5.33,1200,1250,10-Minute
1250,0.0_to_0.236,624,22.93,1200,1250,10-Minute
1250,0.236_to_0.382,373,13.71,1200,1250,10-Minute
1250,0.382_to_0.5,285,10.47,1200,1250,10-Minute
1250,0.5_to_0.618,218,8.01,1200,1250,10-Minute
1250,0.618_to_0.786,205,7.53,1200,1250,10-Minute
1250,0.786_to_1.0,206,7.57,1200,1250,10-Minute
1250,above_1.0,181,6.65,1200,1250,10-Minute
1250,below_-1.0,191,7.02,1200,1250,10-Minute
1300,-0.236_to_0.0,634,23.3,1300,1300,10-Minute
1300,-0.382_to_-0.236,329,12.09,1300,1300,10-Minute
1300,-0.5_to_-0.382,220,8.09,1300,1300,10-Minute
1300,-0.618_to_-0.5,193,7.09,1300,1300,10-Minute
1300,-0.786_to_-0.618,179,6.58,1300,1300,10-Minute
1300,-1.0_to_-0.786,154,5.66,1300,1300,10-Minute
1300,0.0_to_0.236,640,23.52,1300,1300,10-Minute
1300,0.236_to_0.382,369,13.56,1300,1300,10-Minute
1300,0.382_to_0.5,283,10.4,1300,1300,10-Minute
1300,0.5_to_0.618,244,8.97,1300,1300,10-Minute
1300,0.618_to_0.786,219,8.05,1300,1300,10-Minute
1300,0.786_to_1.0,214,7.86,1300,1300,10-Minute
1300,above_1.0,189,6.95,1300,1300,10-Minute
1300,below_-1.0,203,7.46,1300,1300,10-Minute
1310,-0.236_to_0.0,620,22.79,1300,1310,10-Minute
1310,-0.382_to_-0.236,323,11.87,1300,1310,10-Minute
1310,-0.5_to_-0.382,236,8.67,1300,1310,10-Minute
1310,-0.618_to_-0.5,187,6.87,1300,1310,10-Minute
1310,-0.786_to_-0.618,173,6.36,1300,1310,10-Minute
1310,-1.0_to_-0.786,136,5.0,1300,1310,10-Minute
1310,0.0_to_0.236,633,23.26,1300,1310,10-Minute
1310,0.236_to_0.382,353,12.97,1300,1310,10-Minute
1310,0.382_to_0.5,268,9.85,1300,1310,10-Minute
1310,0.5_to_0.618,227,8.34,1300,1310,10-Minute
1310,0.618_to_0.786,205,7.53,1300,1310,10-Minute
1310,0.786_to_1.0,212,7.79,1300,1310,10-Minute
1310,above_1.0,181,6.65,1300,1310,10-Minute
1310,below_-1.0,199,7.31,1300,1310,10-Minute
1320,-0.236_to_0.0,613,22.53,1300,1320,10-Minute
1320,-0.382_to_-0.236,339,12.46,1300,1320,10-Minute
1320,-0.5_to_-0.382,225,8.27,1300,1320,10-Minute
1320,-0.618_to_-0.5,194,7.13,1300,1320,10-Minute
1320,-0.786_to_-0.618,178,6.54,1300,1320,10-Minute
1320,-1.0_to_-0.786,131,4.81,1300,1320,10-Minute
1320,0.0_to_0.236,639,23.48,1300,1320,10-Minute
1320,0.236_to_0.382,357,13.12,1300,1320,10-Minute
1320,0.382_to_0.5,254,9.33,1300,1320,10-Minute
1320,0.5_to_0.618,222,8.16,1300,1320,10-Minute
1320,0.618_to_0.786,228,8.38,1300,1320,10-Minute
1320,0.786_to_1.0,218,8.01,1300,1320,10-Minute
1320,above_1.0,194,7.13,1300,1320,10-Minute
1320,below_-1.0,204,7.5,1300,1320,10-Minute
1330,-0.236_to_0.0,624,22.93,1300,1330,10-Minute
1330,-0.382_to_-0.236,350,12.86,1300,1330,10-Minute
1330,-0.5_to_-0.382,227,8.34,1300,1330,10-Minute
1330,-0.618_to_-0.5,182,6.69,1300,1330,10-Minute
1330,-0.786_to_-0.618,185,6.8,1300,1330,10-Minute
1330,-1.0_to_-0.786,139,5.11,1300,1330,10-Minute
1330,0.0_to_0.236,636,23.37,1300,1330,10-Minute
1330,0.236_to_0.382,362,13.3,1300,1330,10-Minute
1330,0.382_to_0.5,254,9.33,1300,1330,10-Minute
1330,0.5_to_0.618,222,8.16,1300,1330,10-Minute
1330,0.618_to_0.786,224,8.23,1300,1330,10-Minute
1330,0.786_to_1.0,205,7.53,1300,1330,10-Minute
1330,above_1.0,201,7.39,1300,1330,10-Minute
1330,below_-1.0,209,7.68,1300,1330,10-Minute
1340,-0.236_to_0.0,615,22.6,1300,1340,10-Minute
1340,-0.382_to_-0.236,358,13.16,1300,1340,10-Minute
1340,-0.5_to_-0.382,206,7.57,1300,1340,10-Minute
1340,-0.618_to_-0.5,178,6.54,1300,1340,10-Minute
1340,-0.786_to_-0.618,167,6.14,1300,1340,10-Minute
1340,-1.0_to_-0.786,136,5.0,1300,1340,10-Minute
1340,0.0_to_0.236,619,22.75,1300,1340,10-Minute
1340,0.236_to_0.382,338,12.42,1300,1340,10-Minute
1340,0.382_to_0.5,249,9.15,1300,1340,10-Minute
1340,0.5_to_0.618,234,8.6,1300,1340,10-Minute
1340,0.618_to_0.786,217,7.98,1300,1340,10-Minute
1340,0.786_to_1.0,203,7.46,1300,1340,10-Minute
1340,above_1.0,209,7.68,1300,1340,10-Minute
1340,below_-1.0,216,7.94,1300,1340,10-Minute
1350,-0.236_to_0.0,624,22.93,1300,1350,10-Minute
1350,-0.382_to_-0.236,351,12.9,1300,1350,10-Minute
1350,-0.5_to_-0.382,213,7.83,1300,1350,10-Minute
1350,-0.618_to_-0.5,166,6.1,1300,1350,10-Minute
1350,-0.786_to_-0.618,160,5.88,1300,1350,10-Minute
1350,-1.0_to_-0.786,139,5.11,1300,1350,10-Minute
1350,0.0_to_0.236,606,22.27,1300,1350,10-Minute
1350,0.236_to_0.382,335,12.31,1300,1350,10-Minute
1350,0.382_to_0.5,263,9.67,1300,1350,10-Minute
1350,0.5_to_0.618,230,8.45,1300,1350,10-Minute
1350,0.618_to_0.786,218,8.01,1300,1350,10-Minute
1350,0.786_to_1.0,195,7.17,1300,1350,10-Minute
1350,above_1.0,220,8.09,1300,1350,10-Minute
1350,below_-1.0,212,7.79,1300,1350,10-Minute
1400,-0.236_to_0.0,669,24.59,1400,1400,10-Minute
1400,-0.382_to_-0.236,398,14.63,1400,1400,10-Minute
1400,-0.5_to_-0.382,240,8.82,1400,1400,10-Minute
1400,-0.618_to_-0.5,171,6.28,1400,1400,10-Minute
1400,-0.786_to_-0.618,174,6.39,1400,1400,10-Minute
1400,-1.0_to_-0.786,142,5.22,1400,1400,10-Minute
1400,0.0_to_0.236,658,24.18,1400,1400,10-Minute
1400,0.236_to_0.382,398,14.63,1400,1400,10-Minute
1400,0.382_to_0.5,307,11.28,1400,1400,10-Minute
1400,0.5_to_0.618,245,9.0,1400,1400,10-Minute
1400,0.618_to_0.786,249,9.15,1400,1400,10-Minute
1400,0.786_to_1.0,203,7.46,1400,1400,10-Minute
1400,above_1.0,234,8.6,1400,1400,10-Minute
1400,below_-1.0,220,8.09,1400,1400,10-Minute
1410,-0.236_to_0.0,634,23.3,1400,1410,10-Minute
1410,-0.382_to_-0.236,373,13.71,1400,1410,10-Minute
1410,-0.5_to_-0.382,225,8.27,1400,1410,10-Minute
1410,-0.618_to_-0.5,159,5.84,1400,1410,10-Minute
1410,-0.786_to_-0.618,170,6.25,1400,1410,10-Minute
1410,-1.0_to_-0.786,146,5.37,1400,1410,10-Minute
1410,0.0_to_0.236,620,22.79,1400,1410,10-Minute
1410,0.236_to_0.382,373,13.71,1400,1410,10-Minute
1410,0.382_to_0.5,279,10.25,1400,1410,10-Minute
1410,0.5_to_0.618,223,8.2,1400,1410,10-Minute
1410,0.618_to_0.786,215,7.9,1400,1410,10-Minute
1410,0.786_to_1.0,201,7.39,1400,1410,10-Minute
1410,above_1.0,244,8.97,1400,1410,10-Minute
1410,below_-1.0,231,8.49,1400,1410,10-Minute
1420,-0.236_to_0.0,620,22.79,1400,1420,10-Minute
1420,-0.382_to_-0.236,379,13.93,1400,1420,10-Minute
1420,-0.5_to_-0.382,206,7.57,1400,1420,10-Minute
1420,-0.618_to_-0.5,160,5.88,1400,1420,10-Minute
1420,-0.786_to_-0.618,174,6.39,1400,1420,10-Minute
1420,-1.0_to_-0.786,161,5.92,1400,1420,10-Minute
1420,0.0_to_0.236,607,22.31,1400,1420,10-Minute
1420,0.236_to_0.382,363,13.34,1400,1420,10-Minute
1420,0.382_to_0.5,274,10.07,1400,1420,10-Minute
1420,0.5_to_0.618,228,8.38,1400,1420,10-Minute
1420,0.618_to_0.786,217,7.98,1400,1420,10-Minute
1420,0.786_to_1.0,198,7.28,1400,1420,10-Minute
1420,above_1.0,242,8.89,1400,1420,10-Minute
1420,below_-1.0,230,8.45,1400,1420,10-Minute
1430,-0.236_to_0.0,631,23.19,1400,1430,10-Minute
1430,-0.382_to_-0.236,355,13.05,1400,1430,10-Minute
1430,-0.5_to_-0.382,218,8.01,1400,1430,10-Minute
1430,-0.618_to_-0.5,175,6.43,1400,1430,10-Minute
1430,-0.786_to_-0.618,189,6.95,1400,1430,10-Minute
1430,-1.0_to_-0.786,138,5.07,1400,1430,10-Minute
1430,0.0_to_0.236,613,22.53,1400,1430,10-Minute
1430,0.236_to_0.382,371,13.63,1400,1430,10-Minute
1430,0.382_to_0.5,272,10.0,1400,1430,10-Minute
1430,0.5_to_0.618,222,8.16,1400,1430,10-Minute
1430,0.618_to_0.786,213,7.83,1400,1430,10-Minute
1430,0.786_to_1.0,202,7.42,1400,1430,10-Minute
1430,above_1.0,254,9.33,1400,1430,10-Minute
1430,below_-1.0,230,8.45,1400,1430,10-Minute
1440,-0.236_to_0.0,622,22.86,1400,1440,10-Minute
1440,-0.382_to_-0.236,345,12.68,1400,1440,10-Minute
1440,-0.5_to_-0.382,215,7.9,1400,1440,10-Minute
1440,-0.618_to_-0.5,163,5.99,1400,1440,10-Minute
1440,-0.786_to_-0.618,182,6.69,1400,1440,10-Minute
1440,-1.0_to_-0.786,145,5.33,1400,1440,10-Minute
1440,0.0_to_0.236,606,22.27,1400,1440,10-Minute
1440,0.236_to_0.382,369,13.56,1400,1440,10-Minute
1440,0.382_to_0.5,279,10.25,1400,1440,10-Minute
1440,0.5_to_0.618,233,8.56,1400,1440,10-Minute
