Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Below,-0.5,1300,0.786,21,0,0.0
Below,-0.5,1300,1.0,24,1,4.17
Below,-0.5,1300,-0.236,0,0,0.0
Below,-0.5,1300,-0.382,0,0,0.0
Below,-0.5,1300,-0.5,0,0,0.0
Below,-0.5,1300,-0.618,26,12,46.15
Below,-0.5,1300,-0.786,26,7,26.92
Below,-0.5,1300,-1.0,26,2,7.69
Below,-0.5,1300,0.0,4,4,100.0
Above,-0.5,1400,0.236,33,6,18.18
Above,-0.5,1400,0.382,33,0,0.0
Above,-0.5,1400,0.5,33,0,0.0
Above,-0.5,1400,0.618,33,0,0.0
Above,-0.5,1400,0.786,33,0,0.0
Above,-0.5,1400,1.0,33,0,0.0
Above,-0.5,1400,-0.236,33,33,100.0
Above,-0.5,1400,-0.382,33,33,100.0
Above,-0.5,1400,-0.5,0,0,0.0
Above,-0.5,1400,-0.618,0,0,0.0
Above,-0.5,1400,-0.786,2,1,50.0
Above,-0.5,1400,-1.0,12,7,58.33
Above,-0.5,1400,0.0,33,31,93.94
Below,-0.5,1400,0.236,16,7,43.75
Below,-0.5,1400,0.382,25,10,40.0
Below,-0.5,1400,0.5,26,6,23.08
Below,-0.5,1400,0.618,26,1,3.85
Below,-0.5,1400,0.786,31,3,9.68
Below,-0.5,1400,1.0,33,2,6.06
Below,-0.5,1400,-0.236,1,1,100.0
Below,-0.5,1400,-0.382,1,1,100.0
Below,-0.5,1400,-0.5,1,1,100.0
Below,-0.5,1400,-0.618,41,14,34.15
Below,-0.5,1400,-0.786,41,7,17.07
Below,-0.5,1400,-1.0,41,2,4.88
Below,-0.5,1400,0.0,9,9,100.0
Above,-0.5,1500,0.236,14,0,0.0
Above,-0.5,1500,0.382,14,0,0.0
Above,-0.5,1500,0.5,14,0,0.0
Above,-0.5,1500,0.618,14,0,0.0
Above,-0.5,1500,0.786,14,0,0.0
Above,-0.5,1500,1.0,14,0,0.0
Above,-0.5,1500,-0.236,14,14,100.0
Above,-0.5,1500,-0.382,14,14,100.0
Above,-0.5,1500,-0.5,8,7,87.5
Above,-0.5,1500,-0.618,8,7,87.5
Above,-0.5,1500,-0.786,8,7,87.5
Above,-0.5,1500,-1.0,9,8,88.89
Above,-0.5,1500,0.0,14,14,100.0
Below,-0.5,1500,0.236,10,7,70.0
Below,-0.5,1500,0.382,14,8,57.14
Below,-0.5,1500,0.5,16,10,62.5
Below,-0.5,1500,0.618,17,9,52.94
Below,-0.5,1500,0.786,17,3,17.65
Below,-0.5,1500,1.0,17,3,17.65
Below,-0.5,1500,-0.236,9,9,100.0
Below,-0.5,1500,-0.382,8,8,100.0
Below,-0.5,1500,-0.5,8,8,100.0
Below,-0.5,1500,-0.618,18,5,27.78
Below,-0.5,1500,-0.786,18,1,5.56
Below,-0.5,1500,-1.0,18,0,0.0
Below,-0.5,1500,0.0,10,10,100.0
Above,-0.5,2000,0.236,16,0,0.0
Above,-0.5,2000,0.382,16,0,0.0
Above,-0.5,2000,0.5,16,0,0.0
Above,-0.5,2000,0.618,16,0,0.0
Above,-0.5,2000,0.786,16,0,0.0
Above,-0.5,2000,1.0,16,0,0.0
