Direction,TriggerLevel,TriggerTime,GoalLevel,ActionableTriggers,TotalHits,TotalCompletionRate
Above,-1.0,5000,-0.786,0,0,0.0
Above,-1.0,5000,-1.0,0,0,0.0
Above,-1.0,5000,0.0,3,3,100.0
Below,-1.0,5000,0.236,3,0,0.0
Below,-1.0,5000,0.382,3,0,0.0
Below,-1.0,5000,0.5,3,0,0.0
Below,-1.0,5000,0.618,3,0,0.0
Below,-1.0,5000,0.786,3,0,0.0
Below,-1.0,5000,1.0,3,0,0.0
Below,-1.0,5000,-0.236,2,2,100.0
Below,-1.0,5000,-0.382,1,1,100.0
Below,-1.0,5000,-0.5,1,1,100.0
Below,-1.0,5000,-0.618,1,1,100.0
Below,-1.0,5000,-0.786,1,1,100.0
Below,-1.0,5000,-1.0,0,0,0.0
Below,-1.0,5000,0.0,2,1,50.0
Above,-1.0,OPEN,0.236,2009,527,26.23
Above,-1.0,OPEN,0.382,2354,303,12.87
Above,-1.0,OPEN,0.5,2606,199,7.64
Above,-1.0,OPEN,0.618,2791,146,5.23
Above,-1.0,OPEN,0.786,3002,96,3.2
Above,-1.0,OPEN,1.0,3203,59,1.84
Above,-1.0,OPEN,-0.236,716,678,94.69
Above,-1.0,OPEN,-0.382,440,415,94.32
Above,-1.0,OPEN,-0.5,292,273,93.49
Above,-1.0,OPEN,-0.618,169,148,87.57
Above,-1.0,OPEN,-0.786,85,67,78.82
Above,-1.0,OPEN,-1.0,3283,94,2.86
Above,-1.0,OPEN,0.0,1315,1055,80.23
Below,-1.0,OPEN,0.236,270,44,16.3
Below,-1.0,OPEN,0.382,270,14,5.19
Below,-1.0,OPEN,0.5,270,8,2.96
Below,-1.0,OPEN,0.618,270,4,1.48
Below,-1.0,OPEN,0.786,270,2,0.74
Below,-1.0,OPEN,1.0,270,0,0.0
Below,-1.0,OPEN,-0.236,258,251,97.29
Below,-1.0,OPEN,-0.382,238,235,98.74
Below,-1.0,OPEN,-0.5,217,217,100.0
Below,-1.0,OPEN,-0.618,177,177,100.0
Below,-1.0,OPEN,-0.786,110,109,99.09
Below,-1.0,OPEN,-1.0,68,58,85.29
Below,-1.0,OPEN,0.0,267,197,73.78
Above,-0.786,0900,0.236,62,8,12.9
Above,-0.786,0900,0.382,62,2,3.23
Above,-0.786,0900,0.5,62,1,1.61
Above,-0.786,0900,0.618,62,1,1.61
Above,-0.786,0900,0.786,62,1,1.61
Above,-0.786,0900,1.0,62,0,0.0
Above,-0.786,0900,-0.236,58,56,96.55
Above,-0.786,0900,-0.382,51,50,98.04
Above,-0.786,0900,-0.5,49,48,97.96
Above,-0.786,0900,-0.618,44,43,97.73
