GoalZone,GoalTime,TransitionCount,TriggerZone,TriggerTime,TotalTriggerOccurrences,TransitionPercentage,GoalTimeHourly,GoalTime10Min,Granularity
-0.5_to_-0.382,1020,20,-1.0_to_-0.786,930,152,13.16,1020,1020,10-Minute
-0.5_to_-0.382,1030,18,-1.0_to_-0.786,930,152,11.84,1030,1030,10-Minute
-0.5_to_-0.382,1040,27,-1.0_to_-0.786,930,152,17.76,1040,1040,10-Minute
-0.5_to_-0.382,1050,26,-1.0_to_-0.786,930,152,17.11,1050,1050,10-Minute
-0.5_to_-0.382,1100,25,-1.0_to_-0.786,930,152,16.45,1100,1100,10-Minute
-0.5_to_-0.382,1110,21,-1.0_to_-0.786,930,152,13.82,1110,1110,10-Minute
-0.5_to_-0.382,1120,23,-1.0_to_-0.786,930,152,15.13,1120,1120,10-Minute
-0.5_to_-0.382,1130,25,-1.0_to_-0.786,930,152,16.45,1130,1130,10-Minute
-0.5_to_-0.382,1140,23,-1.0_to_-0.786,930,152,15.13,1140,1140,10-Minute
-0.5_to_-0.382,1150,22,-1.0_to_-0.786,930,152,14.47,1150,1150,10-Minute
-0.5_to_-0.382,1200,23,-1.0_to_-0.786,930,152,15.13,1200,1200,10-Minute
-0.5_to_-0.382,1210,17,-1.0_to_-0.786,930,152,11.18,1210,1210,10-Minute
-0.5_to_-0.382,1220,19,-1.0_to_-0.786,930,152,12.5,1220,1220,10-Minute
-0.5_to_-0.382,1230,22,-1.0_to_-0.786,930,152,14.47,1230,1230,10-Minute
-0.5_to_-0.382,1240,21,-1.0_to_-0.786,930,152,13.82,1240,1240,10-Minute
-0.5_to_-0.382,1250,24,-1.0_to_-0.786,930,152,15.79,1250,1250,10-Minute
-0.5_to_-0.382,1300,23,-1.0_to_-0.786,930,152,15.13,1300,1300,10-Minute
-0.5_to_-0.382,1310,26,-1.0_to_-0.786,930,152,17.11,1310,1310,10-Minute
-0.5_to_-0.382,1320,25,-1.0_to_-0.786,930,152,16.45,1320,1320,10-Minute
-0.5_to_-0.382,1330,23,-1.0_to_-0.786,930,152,15.13,1330,1330,10-Minute
-0.5_to_-0.382,1340,20,-1.0_to_-0.786,930,152,13.16,1340,1340,10-Minute
-0.5_to_-0.382,1350,21,-1.0_to_-0.786,930,152,13.82,1350,1350,10-Minute
-0.5_to_-0.382,1400,21,-1.0_to_-0.786,930,152,13.82,1400,1400,10-Minute
-0.5_to_-0.382,1410,18,-1.0_to_-0.786,930,152,11.84,1410,1410,10-Minute
-0.5_to_-0.382,1420,17,-1.0_to_-0.786,930,152,11.18,1420,1420,10-Minute
-0.5_to_-0.382,1430,18,-1.0_to_-0.786,930,152,11.84,1430,1430,10-Minute
-0.5_to_-0.382,1440,17,-1.0_to_-0.786,930,152,11.18,1440,1440,10-Minute
-0.5_to_-0.382,1450,17,-1.0_to_-0.786,930,152,11.18,1450,1450,10-Minute
-0.5_to_-0.382,1500,22,-1.0_to_-0.786,930,152,14.47,1500,1500,10-Minute
-0.5_to_-0.382,1510,22,-1.0_to_-0.786,930,152,14.47,1510,1510,10-Minute
-0.5_to_-0.382,1520,14,-1.0_to_-0.786,930,152,9.21,1520,1520,10-Minute
-0.5_to_-0.382,1530,20,-1.0_to_-0.786,930,152,13.16,1530,1530,10-Minute
-0.5_to_-0.382,1540,24,-1.0_to_-0.786,930,152,15.79,1540,1540,10-Minute
-0.5_to_-0.382,1550,27,-1.0_to_-0.786,930,152,17.76,1550,1550,10-Minute
-0.618_to_-0.5,940,29,-1.0_to_-0.786,930,152,19.08,0940,0940,10-Minute
-0.618_to_-0.5,950,30,-1.0_to_-0.786,930,152,19.74,0950,0950,10-Minute
-0.618_to_-0.5,1000,29,-1.0_to_-0.786,930,152,19.08,1000,1000,10-Minute
-0.618_to_-0.5,1010,29,-1.0_to_-0.786,930,152,19.08,1010,1010,10-Minute
-0.618_to_-0.5,1020,31,-1.0_to_-0.786,930,152,20.39,1020,1020,10-Minute
-0.618_to_-0.5,1030,32,-1.0_to_-0.786,930,152,21.05,1030,1030,10-Minute
-0.618_to_-0.5,1040,31,-1.0_to_-0.786,930,152,20.39,1040,1040,10-Minute
-0.618_to_-0.5,1050,26,-1.0_to_-0.786,930,152,17.11,1050,1050,10-Minute
-0.618_to_-0.5,1100,25,-1.0_to_-0.786,930,152,16.45,1100,1100,10-Minute
-0.618_to_-0.5,1110,21,-1.0_to_-0.786,930,152,13.82,1110,1110,10-Minute
-0.618_to_-0.5,1120,24,-1.0_to_-0.786,930,152,15.79,1120,1120,10-Minute
-0.618_to_-0.5,1130,26,-1.0_to_-0.786,930,152,17.11,1130,1130,10-Minute
